Price,Date
1.507,2019-02-19
1.507,2019-02-20
1.507,2019-02-21
1.507,2019-02-22
1.507,2019-02-23
1.507,2019-02-24
1.529,2019-02-25
1.531,2019-02-26
1.531,2019-02-27
1.531,2019-02-28
1.531,2019-03-01
1.531,2019-03-02
1.531,2019-03-03
1.524,2019-03-04
1.521,2019-03-05
1.521,2019-03-06
1.521,2019-03-07
1.521,2019-03-08
1.521,2019-03-09
1.521,2019-03-10
1.529,2019-03-11
1.534,2019-03-12
1.534,2019-03-13
1.534,2019-03-14
1.534,2019-03-14
1.534,2019-03-15
1.534,2019-03-16
1.542,2019-03-18
1.547,2019-03-19
1.547,2019-03-20
1.547,2019-03-21
1.547,2019-03-22
1.547,2019-03-23
1.547,2019-03-24
1.561,2019-03-25
1.567,2019-03-26
1.567,2019-03-27
1.567,2019-03-28
1.567,2019-03-29
1.567,2019-03-30
1.567,2019-03-31
1.547,2019-04-01
1.599,2019-04-01
1.601,2019-04-02
1.601,2019-04-03
1.601,2019-04-04
1.601,2019-04-05
1.601,2019-04-06
1.601,2019-04-07
1.611,2019-04-08
1.616,2019-04-09
1.616,2019-04-10
1.616,2019-04-11
1.616,2019-04-12
1.616,2019-04-13
1.616,2019-04-14
1.636,2019-04-15
1.636,2019-04-16
1.636,2019-04-17
1.636,2019-04-18
1.636,2019-04-19
1.636,2019-04-20
1.636,2019-04-21
1.636,2019-04-22
1.636,2019-04-23
1.636,2019-04-24
1.636,2019-04-25
1.636,2019-04-26
1.636,2019-04-27
1.636,2019-04-28
1.651,2019-04-29
1.661,2019-04-30
1.661,2019-05-01
1.661,2019-05-02
1.661,2019-05-03
1.661,2019-05-04
1.661,2019-05-05
1.662,2019-05-06
1.662,2019-05-07
1.662,2019-05-08
1.662,2019-05-09
1.661,2019-05-10
1.661,2019-05-12
1.661,2019-05-13
1.661,2019-05-14
1.642,2019-05-15
1.642,2019-05-16
1.642,2019-05-17
1.642,2019-05-18
1.657,2019-05-20
1.666,2019-05-21
1.666,2019-05-22
1.666,2019-05-22
1.666,2019-05-23
1.666,2019-05-24
1.666,2019-05-25
1.666,2019-05-26
1.666,2019-05-27
1.666,2019-05-28
1.666,2019-05-29
1.666,2019-05-30
1.666,2019-05-31
1.666,2019-06-01
1.666,2019-06-02
1.651,2019-06-03
1.647,2019-06-04
1.647,2019-06-05
1.647,2019-06-07
1.647,2019-06-09
1.596,2019-06-10
1.586,2019-06-11
1.586,2019-06-12
1.586,2019-06-14
1.586,2019-06-16
1.572,2019-06-17
1.567,2019-06-19
1.567,2019-06-20
1.567,2019-06-21
1.567,2019-06-22
1.567,2019-06-23
